# Time(days) Flux(e/s)
3314.629052 0.804184
3314.631367 0.795174
3314.633682 0.790417
3314.635997 0.798600
3314.638311 0.793058
3314.640626 0.788687
3314.642941 0.790950
3314.645256 0.788336
3314.647571 0.789569
3314.649885 0.787313
3314.652200 0.785712
3314.654515 0.793154
3314.656830 0.787270
3314.659145 0.797478
3314.661459 0.799264
3314.663774 0.789811
3314.666089 0.800606
3314.668404 0.819530
3314.670719 0.831754
3314.673033 0.868125
3314.675348 0.889253
3314.677663 0.910774
3314.679978 0.929850
3314.682293 0.947028
3314.684607 0.973484
3314.686922 0.996689
3314.689237 1.019166
3314.691552 1.015084
3314.693867 1.034062
3314.696182 1.049545
3314.698496 1.062629
3314.700811 1.066837
3314.703126 1.081303
3314.705441 1.096990
3314.707756 1.099525
3314.710070 1.105355
3314.712385 1.128530
3314.714700 1.129952
3314.717015 1.140874
3314.719330 1.132537
3314.721644 1.146850
3314.723959 1.146494
3314.726274 1.153909
3314.728589 1.154444
3314.730904 1.147478
3314.733218 1.157536
3314.735533 1.162824
3314.737848 1.157134
3314.740163 1.150157
3314.742478 1.145936
3314.744792 1.144142
3314.747107 1.140860
3314.749422 1.139711
3314.751737 1.124566
3314.754052 1.117838
3314.756366 1.115590
3314.758681 1.106309
3314.760996 1.093159
3314.763311 1.082407
3314.765626 1.079656
3314.767940 1.059203
3314.770255 1.051747
3314.772570 1.030509
3314.774885 1.016698
3314.777200 0.999797
3314.779514 0.976048
3314.781829 0.966885
3314.784144 0.947055
3314.786459 0.918713
3314.788774 0.890990
3314.791088 0.884694
3314.793403 0.855659
3314.795718 0.839341
3314.798033 0.816737
3314.800348 0.806260
3314.802662 0.803971
3314.804977 0.798452
3314.807292 0.797050
3314.809607 0.794739
3314.811922 0.790900
3314.814236 0.786330
3314.816551 0.795835
3314.818866 0.792869
3314.821181 0.789149
3314.823496 0.786639
3314.825810 0.799478
3314.828125 0.787605
3314.830440 0.801348
3314.832755 0.799488
3314.835070 0.818213
3314.837384 0.833226
3314.839699 0.849705
3314.842014 0.869630
3314.844329 0.889358
3314.846644 0.910618
3314.848959 0.927849
3314.851273 0.943838
3314.853588 0.957400
3314.855903 0.983134
3314.858218 1.000495
3314.860533 1.013891
3314.862847 1.018912
3314.865162 1.028854
3314.867477 1.053057
3314.869792 1.063552
3314.872107 1.068262
3314.874421 1.079749
3314.876736 1.090325
3314.879051 1.094827
3314.881366 1.102148
3314.883681 1.112898
3314.885995 1.128288
3314.888310 1.125751
3314.890625 1.126836
3314.892940 1.129618
3314.895255 1.129635
3314.897569 1.131649
3314.899884 1.136744
3314.902199 1.130025
3314.904514 1.131580
3314.906829 1.136952
3314.909143 1.129759
3314.911458 1.121487
3314.913773 1.121724
3314.916088 1.120114
3314.918403 1.107369
3314.920717 1.104385
3314.923032 1.090538
3314.925347 1.085385
3314.927662 1.075383
3314.929977 1.066480
3314.932291 1.052351
3314.934606 1.040720
3314.936921 1.033153
3314.939236 1.025287
3314.941551 1.014163
3314.943865 1.003193
3314.946180 0.984222
3314.948495 0.972087
3314.950810 0.950472
3314.953125 0.930316
3314.955439 0.910775
3314.957754 0.878560
3314.960069 0.862815
3314.962384 0.841544
3314.964699 0.823288
3314.967013 0.795297
3314.969328 0.797064
3314.971643 0.795598
3314.973958 0.796518
3314.976273 0.793095
3314.978587 0.786038
3314.980902 0.796961
3314.983217 0.793830
3314.985532 0.792019
3314.987847 0.787703
3314.990162 0.788698
3314.992476 0.785060
3314.994791 0.795915
3314.997106 0.795919
3314.999421 0.789554
3315.001736 0.796665
3315.004050 0.797066
3315.006365 0.809297
3315.008680 0.825908
3315.010995 0.850328
3315.013310 0.878041
3315.015624 0.895466
3315.017939 0.915991
3315.020254 0.941014
3315.022569 0.967861
3315.024884 0.982346
3315.027198 0.998083
3315.029513 1.014259
3315.031828 1.038187
3315.034143 1.039696
3315.036458 1.052233
3315.038772 1.060260
3315.041087 1.067531
3315.043402 1.087343
3315.045717 1.103020
3315.048032 1.103576
3315.050346 1.116236
3315.052661 1.120998
3315.054976 1.136814
3315.057291 1.138611
3315.059606 1.140182
3315.061920 1.148829
3315.064235 1.143978
3315.066550 1.156216
3315.068865 1.156736
3315.071180 1.148460
3315.073494 1.165838
3315.075809 1.167533
3315.078124 1.159943
3315.080439 1.154724
3315.082754 1.148057
3315.085068 1.148158
3315.087383 1.140728
3315.089698 1.136441
3315.092013 1.128418
3315.094328 1.115613
3315.096642 1.118644
3315.098957 1.102303
3315.101272 1.083091
3315.103587 1.070259
3315.105902 1.068097
3315.108217 1.045219
3315.110531 1.029466
3315.112846 1.019511
3315.115161 1.005358
3315.117476 0.984563
3315.119791 0.966757
3315.122105 0.951288
3315.124420 0.931544
3315.126735 0.914247
3315.129050 0.889215
3315.131365 0.863550
3315.133679 0.844963
3315.135994 0.819208
3315.138309 0.811692
3315.140624 0.804920
3315.142939 0.800295
3315.145253 0.801381
3315.147568 0.791021
3315.149883 0.797817
3315.152198 0.795738
3315.154513 0.795400
3315.156827 0.787715
3315.159142 0.794458
3315.161457 0.786102
3315.163772 0.789342
3315.166087 0.787408
3315.168401 0.796978
3315.170716 0.803515
3315.173031 0.795526
3315.175346 0.818427
3315.177661 0.840148
3315.179975 0.852801
3315.182290 0.873405
3315.184605 0.892130
3315.186920 0.920345
3315.189235 0.940425
3315.191549 0.946266
3315.193864 0.972051
3315.196179 0.987882
3315.198494 1.002136
